contiguous,stnameF1,stname,all_mig_count,all_trate100_ij,TF_count,ACS_allpop,ACS_allpopF1,wint_temp_ij,sun_ij,humid_ij,topog_ij,water_ij,temp_dif_ij,state_sales_ij,unemp_ij,prop_tax_ij,meaninc_ij,log_distance_ij,log_allpop_i,log_allpop_j,log_all_mig_count,log_ACS_pop_i,log_ACS_pop_j,log_ACS_count
0,Alaska,Alaska,2918589.0,0.0,3412840.0,3412840.0,3412840.0,0.0,,,,,,0.0,0.0,0.0,0.0,,14.886611,14.886611,14.886611,15.043056,15.043056,15.043056
0,Arkansas,Alaska,1736.0,-4.8991537,3069.0,3412840.0,12843436.5,3.89,,,,,,-5.548077,1.1884613,0.5761461,9.500998,1.1067929,14.886611,16.27857,7.4593387,15.043056,16.368343,8.029107
0,Arizona,Alaska,8888.0,-2.2186127,15513.5,3412840.0,29888260.5,4.1,,,,,,-5.4923077,0.9023075,0.45049608,6.388691,0.93060386,14.886611,16.969017,9.092458,15.043056,17.212976,9.649466
0,California,Alaska,17716.0,-1.6894264,36050.0,3412840.0,176427792.0,4.36,,,,,,-6.8461537,-0.31000042,0.51185906,-0.8219261,0.7926769,14.886611,18.850908,9.782224,15.043056,18.988422,10.492662
0,Colorado,Alaska,7272.0,-2.9859133,11286.0,3412840.0,23623452.5,2.32,,,,,,-2.923077,1.4776921,0.50702304,-1.1156921,0.8657906,14.886611,16.867243,8.891787,15.043056,16.97775,9.331318
0,Florida,Alaska,8743.0,-8.583069e-06,39545.5,3412840.0,85690231.0,5.6800003,,,,,,-6.0,0.94615364,0.21388113,2.9473076,1.3364753,14.886611,18.20688,9.076009,15.043056,18.266249,10.585207
0,Georgia,Alaska,4958.0,-4.558502,13858.5,3412840.0,44226688.0,4.52,,,,,,-4.0,1.0407691,0.31930703,5.339691,1.2276396,14.886611,17.45527,8.508758,15.043056,17.60484,9.536654
0,Hawaii,Alaska,3633.0,-5.367035,7244.0,3412840.0,6231444.0,6.48,,,,,,-4.0,2.5646152,0.8609251,2.2036896,1.0335433,14.886611,15.610348,8.197814,15.043056,15.645119,8.887929
0,Idaho,Alaska,4978.0,-4.3181896,10798.0,3412840.0,7004555.5,2.28,,,,,,-5.5384617,1.637692,0.324535,8.516691,0.5932359,14.886611,15.603274,8.512783,15.043056,15.762072,9.287116
0,Illinois,Alaska,2728.0,-2.9186907,8805.5,3412840.0,61472362.0,2.57,,,,,,-6.25,0.29384565,-0.54825974,-0.25600052,1.0398647,14.886611,17.911255,7.911324,15.043056,17.934097,9.083132
0,Kansas,Alaska,1952.0,-3.4551802,3052.0,3412840.0,13230804.5,2.93,,,,,,-5.2230773,1.7907691,-0.16544986,3.5019226,0.9988695,14.886611,16.347654,7.5766096,15.043056,16.398058,8.023552
0,Massachusetts,Alaska,1476.0,-4.388032,7203.0,3412840.0,31605861.5,2.48,,,,,,-5.2884617,1.5830765,0.16493207,-7.3257713,1.2047651,14.886611,17.271303,7.297091,15.043056,17.268852,8.882253
0,Maryland,Alaska,2131.0,-3.852769,8181.5,3412840.0,27837935.0,3.21,,,,,,-5.3076925,2.0930767,0.28202307,-4.712387,1.2024254,14.886611,17.095129,7.6643467,15.043056,17.14191,9.009631
0,Maine,Alaska,1077.0,-3.9429607,1030.5,3412840.0,6184257.0,1.42,,,,,,-5.076923,1.6261535,-0.0010896921,5.3540764,1.187759,14.886611,15.665569,6.9819345,15.043056,15.637517,6.9377995
0,Michigan,Alaska,2914.0,-3.6497421,6661.5,3412840.0,46563064.5,1.9100001,,,,,,-6.0,-0.67846155,-0.33200026,5.179844,1.0591965,14.886611,17.671928,7.977282,15.043056,17.656319,8.8041
0,Minnesota,Alaska,3121.0,-4.003854,6199.0,3412840.0,25536220.5,0.97999996,,,,,,-6.5865383,1.9838462,0.169299,-0.50092316,0.8974365,14.886611,17.04021,8.045909,15.043056,17.055609,8.732143
0,Montana,Alaska,4008.0,-4.8844614,4220.5,3412840.0,4481971.5,1.8600001,,,,,,0.0,2.1799998,0.20594007,7.747999,0.5840379,14.886611,15.290619,8.296047,15.043056,15.315574,8.347709
0,North Carolina,Alaska,5132.0,-5.1919594,9684.0,3412840.0,42432805.5,3.9499998,,,,,,-4.5,0.45769215,0.33002806,5.8766136,1.2330968,14.886611,17.472588,8.543251,15.043056,17.563433,9.17823
0,New Jersey,Alaska,1201.0,-1.470726,4213.5,3412840.0,42488024.5,3.04,,,,,,-6.3846154,1.074615,-0.6431502,-7.302849,1.2046717,14.886611,17.545212,7.09091,15.043056,17.564734,8.346049
0,Nevada,Alaska,5317.0,-1.7166138e-05,4536.0,3412840.0,12651003.5,2.96,,,,,,-6.580769,0.08769226,0.43444806,2.4471512,0.78638285,14.886611,16.16458,8.578665,15.043056,16.353247,8.419801
0,New York,Alaska,3660.0,-3.5141306,18605.5,3412840.0,92115094.0,2.07,,,,,,-4.019231,0.91615343,-0.11109984,-4.2902336,1.1853502,14.886611,18.308846,8.205218,15.043056,18.338549,9.831212
0,Ohio,Alaska,2711.0,-3.166708,6304.0,3412840.0,54447820.5,2.69,,,,,,-5.3846154,0.5153847,-0.20259976,4.8517685,1.1182889,14.886611,17.864815,7.9050727,15.043056,17.812754,8.7489395
0,Oklahoma,Alaska,3122.0,-4.475341,7387.5,3412840.0,16839964.0,3.6499999,,,,,,-4.5,2.1546154,0.36097097,6.864767,1.0519446,14.886611,16.519926,8.046229,15.043056,16.639265,8.907545
0,Oregon,Alaska,11760.0,-6.4693365,13007.5,3412840.0,17670852.0,3.14,,,,,,0.0,-0.3800001,0.20229107,4.6928444,0.44978568,14.886611,16.59493,9.372459,15.043056,16.687428,9.473282
0,Tennessee,Alaska,2578.0,-1.7166138e-05,5069.0,3412840.0,28246650.5,3.6499999,,,,,,-6.6153846,0.67384577,0.40365314,6.2475376,1.1615102,14.886611,17.117764,7.854769,15.043056,17.156485,8.530899
0,Texas,Alaska,13614.0,3.1471252e-05,38155.5,3412840.0,114306508.0,4.53,,,,,,-6.25,1.0276923,-0.7240999,4.0973053,1.1366347,14.886611,18.376646,9.518854,15.043056,18.554394,10.549425
0,Utah,Alaska,3209.0,-4.221591,7128.5,3412840.0,12906366.0,2.5600002,,,,,,-5.019231,2.016923,0.47082806,8.521074,0.75184804,14.886611,16.103764,8.073714,15.043056,16.373232,8.871856
0,Virginia,Alaska,4829.0,-4.4760237,14969.5,3412840.0,37187363.0,3.4199998,,,,,,-4.230769,2.726923,0.39206403,-1.0870781,1.2141867,14.886611,17.375614,8.482394,15.043056,17.43148,9.6137705
0,Washington,Alaska,24851.0,-5.722046e-06,25297.5,3412840.0,31397021.5,3.04,,,,,,-6.5,0.30538416,0.16787106,-0.13292313,0.37141585,14.886611,17.18753,10.120653,15.043056,17.262224,10.138461
0,Wyoming,Alaska,1488.0,-2.2888184e-05,1611.5,3412840.0,2558174.5,1.8600001,,,,,,-4.0,2.491538,0.53788406,-1.1473083,0.7630091,14.886611,14.700418,7.305188,15.043056,14.754805,7.3849206
0,Alabama,Alabama,19969494.0,0.0,21053174.0,21053174.0,21053174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.809717,16.809717,16.809717,16.862562,16.862562,16.862562
0,Arizona,Alabama,5944.0,1.5145445,6653.5,21053174.0,29888260.5,-0.29000014,106.44476,-41.445774,2.853732,-2.1089056,3.9954224,-1.4923077,-0.46076918,-0.31927398,-1.7729988,0.37262547,16.809717,16.969017,8.690138,16.862562,17.212976,8.802898
0,California,Alabama,17733.0,2.0437307,16110.0,21053174.0,176427792.0,-0.029999923,32.458557,-24.85152,8.098559,5.159658,-7.2558403,-2.8461537,-1.6730771,-0.257911,-8.983616,0.6225449,16.809717,18.850908,9.783182,16.862562,18.988422,9.687196
0,Colorado,Alabama,7510.0,0.7472439,10765.5,21053174.0,23623452.5,-2.0700002,64.88603,-35.46482,4.9838905,-1.9687468,9.870979,1.0769229,0.11461544,-0.26274702,-9.277382,0.11417663,16.809717,16.867243,8.923991,16.862562,16.97775,9.2841015
0,Connecticut,Alabama,1874.0,1.5650539,1653.0,21053174.0,17210192.5,-1.8,19.79477,-2.5541077,5.0037317,9.180262,10.5070915,-2.0,0.25846148,-1.1821303,-19.65823,-0.039140098,16.809717,16.647629,7.5358305,16.862562,16.661013,7.410347
0,District of Columbia,Alabama,1256.0,-2.5392141,1026.0,21053174.0,2815354.0,-0.9400002,7.0447693,2.8208923,-5.7462683,7.787761,8.782089,-1.7884617,-1.6523075,-0.101453006,-27.340462,-0.38513413,16.809717,14.791628,7.1356874,16.862562,14.850598,6.933423
1,Florida,Alabama,77127.0,3.7331486,63628.5,21053174.0,85690231.0,1.2900002,55.686554,7.194023,-8.253731,11.874477,-10.870148,-2.0,-0.41692305,-0.5558889,-5.214382,-0.7548862,16.809717,18.20688,11.253209,16.862562,18.266249,11.060817
1,Georgia,Alabama,99281.0,-0.82534504,92532.0,21053174.0,44226688.0,0.12999992,23.667404,4.946678,-3.3814883,-0.19576082,-1.5128784,0.0,-0.3223076,-0.45046303,-2.8219986,-1.7810822,16.809717,17.45527,11.50571,16.862562,17.60484,11.435309
0,Iowa,Alabama,1830.0,-0.971159,2525.0,21053174.0,14251249.0,-2.48,12.216492,-8.320522,-2.311925,-1.6412287,20.412395,-1.2307692,1.2438459,-0.9520596,-3.5001526,-0.34821245,16.809717,16.471252,7.512071,16.862562,16.472355,7.8339963
0,Idaho,Alabama,972.0,-0.58503246,873.0,21053174.0,7004555.5,-2.1100001,-36.81887,-45.13365,6.1628227,-1.206557,10.804817,-1.5384617,0.2746153,-0.44523504,0.35500145,0.53624874,16.809717,15.603274,6.879356,16.862562,15.762072,6.7719355
0,Illinois,Alabama,10134.0,0.8144665,6754.5,21053174.0,61472362.0,-1.82,-3.3865967,-8.796753,-5.0403857,0.14109452,14.122288,-2.25,-1.069231,-1.3180298,-8.41769,-0.54827935,16.809717,17.911255,9.223651,16.862562,17.934097,8.817965
0,Indiana,Alabama,7203.0,0.4615097,7960.5,21053174.0,30272254.0,-1.71,-16.259575,-7.2443237,-4.637573,-1.077891,11.994049,-1.9230771,-0.29923058,-0.5852289,-1.843153,-0.7068773,16.809717,17.215565,8.882253,16.862562,17.225742,8.982247
0,Kentucky,Alabama,9621.0,-1.5080996,10749.0,21053174.0,19107787.5,-1.0599998,-13.305237,-4.770775,3.7787313,-0.55707216,7.2454224,-2.0,-1.0584617,-0.37106302,0.60054016,-1.0707093,16.809717,16.73179,9.171703,16.862562,16.765606,9.282568
0,Louisiana,Alabama,17064.0,1.3262539,14616.0,21053174.0,20406403.0,0.44000015,-4.1271057,1.9615173,-7.8712683,8.730105,-2.3554096,0.0,-0.046154022,0.12671499,-1.4033833,-1.1373163,16.809717,16.754719,9.744726,16.862562,16.83136,9.589872
0,Massachusetts,Alabama,2994.0,-0.6548748,2482.5,21053174.0,31605861.5,-1.9100001,-1.2409515,-1.4648209,-1.2462683,25.98919,9.432091,-1.2884617,0.21999979,-0.604838,-15.487461,0.054410286,16.809717,17.271303,8.004366,16.862562,17.268852,7.8170214
0,Maryland,Alabama,6045.0,-0.11961174,6904.5,21053174.0,27837935.0,-1.18,6.6280975,0.32089233,-4.454602,16.316095,7.66959,-1.3076925,0.73,-0.48774698,-12.874077,-0.35823014,16.809717,17.095129,8.706986,16.862562,17.14191,8.839929
0,Michigan,Alabama,8752.0,0.08341503,16262.0,21053174.0,46563064.5,-2.48,-36.35282,-7.0827217,-4.6378345,21.330172,13.9098015,-2.0,-2.0415382,-1.1017703,-2.9818459,-0.36464822,16.809717,17.671928,9.077038,16.862562,17.656319,9.696587
0,Minnesota,Alabama,2278.0,-0.27069664,3222.0,21053174.0,25536220.5,-3.41,0.79190063,-11.765316,-5.1600614,2.542244,26.232666,-2.5865383,0.6207695,-0.600471,-8.662613,-0.08696753,16.809717,17.04021,7.7310534,16.862562,17.055609,8.077758
0,Missouri,Alabama,7897.0,0.266984,7072.5,21053174.0,27617625.0,-1.4200001,17.940414,-11.83128,2.35808,-1.1410214,12.752525,-0.2249999,-0.27615356,-0.54138696,-3.250229,-0.728746,16.809717,17.107931,8.974238,16.862562,17.133965,8.863969
1,Mississippi,Alabama,31743.0,0.574934,33428.5,21053174.0,12929494.0,0.020000076,6.6911163,-1.447403,-4.209683,0.1842246,0.9125786,-3.0,-1.7015386,-0.20192,2.7656155,-1.7911339,16.809717,16.31091,10.365428,16.862562,16.375021,10.417164
0,North Carolina,Alabama,21410.0,-1.4588022,20156.0,21053174.0,42432805.5,-0.44000015,29.984772,8.040894,-2.1662683,3.9833612,1.888092,-0.5,-0.90538454,-0.439742,-2.2850761,-0.8164109,16.809717,17.472588,9.971613,16.862562,17.563433,9.911258
0,New Hampshire,Alabama,743.0,3.7331858,425.0,21053174.0,6311291.0,-2.54,-4.4552307,1.9208908,6.2537317,2.6287613,14.50209,4.0,1.370769,-1.4036402,-9.740768,0.08202028,16.809717,15.679745,6.610696,16.862562,15.657851,6.052089
0,New Jersey,Alabama,3480.0,2.2624311,2176.0,21053174.0,42488024.5,-1.35,10.282867,-5.8457756,-2.9367447,8.761094,9.705902,-2.3846154,-0.2884617,-1.4129202,-15.464539,-0.15891993,16.809717,17.545212,8.154788,16.862562,17.564734,7.6852436
0,New Mexico,Alabama,2260.0,0.9308853,4854.0,21053174.0,9145135.5,-1.0400002,82.4084,-33.542744,2.5567617,-2.204663,5.9396667,-1.0769229,-0.01999998,-0.23693398,0.8604622,0.123202674,16.809717,15.927397,7.72312,16.862562,16.028732,8.487558
0,Nevada,Alabama,2613.0,3.73314,4462.0,21053174.0,12651003.5,-1.43,58.04477,-49.649696,2.5478497,-0.98106235,7.752678,-2.580769,-1.2753844,-0.335322,-5.7145386,0.5219112,16.809717,16.16458,7.868254,16.862562,16.353247,8.403353
0,New York,Alabama,9804.0,0.21902657,6304.0,21053174.0,92115094.0,-2.3200002,-23.681038,-4.00169,1.6892157,9.488567,13.319187,-0.019230843,-0.44692326,-0.88086987,-12.451923,-0.11930184,16.809717,18.308846,9.190546,16.862562,18.338549,8.7489395
0,Ohio,Alabama,10951.0,0.56644917,11752.5,21053174.0,54447820.5,-1.7,-27.500687,-6.2472878,-1.7235413,2.733784,10.508228,-1.3846154,-0.847692,-0.9723698,-3.3099213,-0.58174694,16.809717,17.864815,9.301186,16.862562,17.812754,9.371821
0,Oklahoma,Alabama,4921.0,-0.7421837,6233.5,21053174.0,16839964.0,-0.7400001,38.29152,-22.386898,-3.395619,-0.3892518,9.634037,-0.5,0.7915387,-0.40879908,-1.2969227,-0.50542104,16.809717,16.519926,8.501267,16.862562,16.639265,8.737693
0,Pennsylvania,Alabama,6055.0,0.76701736,4371.5,21053174.0,59236899.0,-1.8100001,-17.268661,-5.1492577,5.5373135,-0.50462687,10.074627,-2.0,-0.11230755,-1.0910196,-6.0494614,-0.2942797,16.809717,17.932892,8.70864,16.862562,17.897055,8.382861
0,South Carolina,Alabama,11894.0,-0.3779993,10318.5,21053174.0,20343533.0,-0.04000015,35.023026,5.8426285,-5.7462683,2.1145003,0.18643951,-1.3076925,-1.4530768,-0.21743903,0.3389244,-1.0818439,16.809717,16.761093,9.383789,16.862562,16.828274,9.2416935
1,Tennessee,Alabama,46150.0,3.73314,46723.5,21053174.0,28246650.5,-0.7400001,-11.218384,-4.1791077,3.0432053,0.17207699,4.7094574,-2.6153846,-0.6892309,-0.3661169,-1.9141521,-1.6381893,16.809717,17.117764,10.739653,16.862562,17.156485,10.752003
0,Texas,Alabama,38633.0,3.7331886,40516.5,21053174.0,114306508.0,0.14000015,40.635315,-25.127926,-4.3565044,0.38626513,2.9316978,-2.25,-0.33538437,-1.4938699,-4.0643845,-0.44707832,16.809717,18.376646,10.561862,16.862562,18.554394,10.609465
0,Utah,Alabama,1769.0,-0.48843384,2221.5,21053174.0,12906366.0,-1.8299999,8.493042,-47.73083,6.5295935,1.9667267,12.606228,-1.0192308,0.65384626,-0.298942,0.35938454,0.39294228,16.809717,16.103764,7.47817,16.862562,16.373232,7.705938
0,Virginia,Alabama,17213.0,-0.7428665,17191.0,21053174.0,37187363.0,-0.9700001,10.463882,2.703247,0.13608456,4.1432023,5.045326,-0.23076916,1.3638463,-0.37770602,-9.248768,-0.50533974,16.809717,17.375614,9.75342,16.862562,17.43148,9.752141
0,Washington,Alabama,5993.0,3.7331514,7033.0,21053174.0,31397021.5,-1.35,-80.46805,-29.076542,6.9203978,6.751864,3.8146973e-05,-2.5,-1.0576925,-0.601899,-8.294613,0.72713095,16.809717,17.18753,8.698347,16.862562,17.262224,8.858369
0,Wisconsin,Alabama,3087.0,-1.210824,3896.0,21053174.0,27218996.5,-2.9299998,-8.413559,-6.7068863,-2.7879348,10.035678,20.225147,-1.0,0.103076935,-1.4555,-4.581154,-0.2889624,16.809717,17.140762,8.034955,16.862562,17.119425,8.267706
0,West Virginia,Alabama,1810.0,-0.25743484,2092.0,21053174.0,8001195.5,-1.3700001,-36.191597,0.6572571,9.03555,-1.5356934,6.6202736,-2.0,-0.27692318,-0.16132501,2.1458473,-0.6488195,16.809717,15.901109,7.501082,16.862562,15.895102,7.645876
0,Wyoming,Alabama,893.0,3.7331343,798.5,21053174.0,2558174.5,-2.53,28.827377,-35.87476,7.079818,-1.7300649,13.777744,0.0,1.1284614,-0.231886,-9.308998,0.2537761,16.809717,14.700418,6.7945867,16.862562,14.754805,6.682735
0,Alabama,Arkansas,6310.0,1.1659966,7466.5,12843436.5,21053174.0,0.5,-5.444763,8.405773,-0.040398598,0.30743882,-5.7314224,1.5480771,0.17461538,0.19362393,-1.3393078,-0.99744695,16.27857,16.809717,8.749891,16.368343,16.862562,8.918181
0,Arkansas,Arkansas,11740671.0,0.0,12843436.5,12843436.5,12843436.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.27857,16.27857,16.27857,16.368343,16.368343,16.368343
0,Arizona,Arkansas,6649.0,2.680541,6447.5,12843436.5,29888260.5,0.20999984,101.0,-33.04,2.8133335,-1.8014667,-1.7360001,0.055769444,-0.2861538,-0.12565005,-3.1123066,0.09933235,16.27857,16.969017,8.802221,16.368343,17.212976,8.771448
0,California,Arkansas,17898.0,3.2097273,16299.0,12843436.5,176427792.0,0.4700001,27.013794,-16.445747,8.058161,5.4670963,-12.987263,-1.2980766,-1.4984617,-0.06428707,-10.322924,0.4073186,16.27857,18.850908,9.792444,16.368343,18.988422,9.698859
0,Colorado,Arkansas,6826.0,1.9132404,6666.5,12843436.5,23623452.5,-1.57,59.44127,-27.05905,4.943492,-1.6613079,4.139557,2.625,0.28923082,-0.06912309,-10.61669,-0.2833448,16.27857,16.867243,8.828494,16.368343,16.97775,8.804851
0,District of Columbia,Arkansas,599.0,-1.3732176,1170.0,12843436.5,2815354.0,-0.44000015,1.6000061,11.2266655,-5.786667,8.0952,3.0506668,-0.24038458,-1.4776921,0.092170924,-28.67977,-0.10355615,16.27857,14.791628,6.395262,16.368343,14.850598,7.0647593
