uid,term,estimate,std.error,statistic,p.value,conf.low,conf.high,NRMSE,R2_flipped
1,unionunion,11.109359404783557,2.199606865867353,5.050611351134737,4.836710096269326e-7,6.795391349848663,15.42332745971845,0.09185589003933957,0.5919377111956563
2,unionunion,12.297507713385981,2.1962636118204806,5.599285826710297,2.4741923336455353e-8,7.990098117389549,16.60491730938241,0.09157290431181986,0.5983817435892127
3,unionunion,9.891641497349214,2.2885545823825426,4.322222232974376,1.626559049749228e-5,5.403226756941482,14.380056237756946,0.09496146611189608,0.6420255500589708
4,unionunion,13.36268746599642,2.3832131479578798,5.607004760546323,2.3679647194492315e-8,8.688625794842633,18.036749137150206,0.09708343752415025,0.7050877578836516
5,unionunion,10.806777448074314,2.192810387502596,4.928277205208889,9.034141907312931e-7,6.506140468754646,15.107414427393982,0.09176493502784833,0.5924731892567102
6,unionunion,12.000759511799254,2.188940895881445,5.482450227129945,4.769408000579596e-8,7.707713062879059,16.29380596071945,0.09147283568459462,0.5988511415940304
7,unionunion,9.58531430907577,2.2813610322179674,4.201577117216212,2.776447504055465e-5,5.111009453930561,14.05961916422098,0.09483570591743391,0.6425536332444733
8,unionunion,13.090060461175195,2.3747699654620926,5.5121382919410795,4.0412728545215665e-8,8.432559566545326,17.747561355805065,0.0968860846018973,0.7053729752651344
9,unionunion,11.272418289790494,2.2553242446758297,4.998136439317506,6.333809336746454e-7,6.8491763614011925,15.695660218179796,0.09384187459171334,0.6223413470616648
10,unionunion,12.321020648260674,2.248692281829592,5.479193728648362,4.856590038628599e-8,7.910787172616555,16.731254123904794,0.09353937731120854,0.6272923777024577
11,unionunion,10.044797571471122,2.34380216086799,4.285684917941705,1.915175192740925e-5,5.4480304487873426,14.641564694154901,0.09681977676616033,0.673430628990473
12,unionunion,13.373779427009515,2.4275831207615104,5.509092278914134,4.110674981628565e-8,8.612699102947454,18.134859751071573,0.09857861023377437,0.7315866185014949
13,unionunion,11.858840165593405,2.248647957036361,5.273764676451595,1.4927732082099676e-7,7.448693621668884,16.268986709517925,0.09407748419825578,0.6244521734764316
14,unionunion,12.890308539240019,2.2419953117088625,5.749480595218081,1.0444111374928516e-8,8.493211000570358,17.28740607790968,0.09378152239817464,0.6293212488981735
15,unionunion,10.641972917567859,2.3367120513534396,4.554250880592649,5.5990022901762e-6,6.059112839348307,15.224832995787411,0.09704099634979896,0.6756135613647162
16,unionunion,13.93480269061263,2.419599724332949,5.759135509264561,9.873084979848338e-9,9.189381414188336,18.680223967036923,0.09878780541195661,0.7334927213303136
17,unionunion,13.164885227688064,2.1966560677928757,5.993148140353026,2.4671108772285925e-9,8.856705929633826,17.473064525742302,0.09249743355771667,0.6039768952118789
18,unionunion,14.506013851305378,2.1923522028836597,6.616643909781114,4.793559722234871e-11,10.206276998162945,18.80575070444781,0.09225257726913182,0.6113054327273975
19,unionunion,11.832904109193015,2.2803518687254916,5.189069402612207,2.344832833937108e-7,7.36057846954691,16.305229748839118,0.09555394444141262,0.6524782627416232
20,unionunion,15.521044920023872,2.3741766487207956,6.5374431714618195,8.064253482451432e-11,10.86470766368048,20.177382176367264,0.09771091019803164,0.7173843773743195
21,unionunion,12.808669935045705,2.195776074744817,5.833322478720545,6.396293424366054e-9,8.502218034931126,17.115121835160284,0.09249441277069341,0.6058511332311227
22,unionunion,14.149500462556267,2.1911571312987164,6.457547138196221,1.3551798399212846e-10,9.852108947705858,18.446891977406676,0.0922444045024912,0.6131246374350777
23,unionunion,11.48358668539199,2.279016739488787,5.038833847252875,5.138921256846372e-7,7.013881131835328,15.95329223894865,0.09551688661963936,0.6542528978129777
24,unionunion,15.18452123883021,2.371821733050031,6.4020499632169905,1.936610668663348e-10,10.532804178892086,19.836238298768336,0.097601588086158,0.7188982943717711
25,unionunion,14.052972116900042,2.2657322150151225,6.202397628356203,6.839078475194313e-10,9.609319180369784,18.4966250534303,0.09491212371097368,0.6434205257594834
26,unionunion,15.236396830921109,2.258171939966837,6.7472261793957395,2.0073088393651234e-11,10.807572993839656,19.66522066800256,0.0946289316159844,0.649183307852459
27,unionunion,12.719398945834838,2.3477233595167704,5.417758823361906,6.822102978639457e-8,8.114943016914953,17.323854874754723,0.09784081695812236,0.6925128974947744
28,unionunion,16.209850223253742,2.4301413134939946,6.670332351968304,3.3569398828965243e-11,11.443754336484158,20.975946110023326,0.09958598654738407,0.7522967152070541
29,unionunion,14.435870977455032,2.2594382036890286,6.389141758285447,2.1037582796245848e-10,10.004563689553198,18.867178265356866,0.09498765995854283,0.6444585888077817
30,unionunion,15.600195670486762,2.2519474740239906,6.92742430737555,5.886890135447691e-12,11.183581075455141,20.016810265518384,0.09470873787410694,0.650136680990537
31,unionunion,13.116817842033772,2.34127197096957,5.602432355008214,2.4298742903840938e-8,8.52501626708616,17.708619416981385,0.0979206112651659,0.693643184243639
32,unionunion,16.569947641019137,2.4230684164271548,6.838415097437379,1.0827455098963046e-11,11.817725087134423,21.32217019490385,0.09967252837787816,0.7531685593314167
33,unionunion,11.076379956498858,2.198405550484341,5.038369719389841,5.151737550949119e-7,6.764769495403587,15.387990417594128,0.0917564459613264,0.5917179746436741
34,unionunion,12.26537802892037,2.19498801665935,5.587902045856085,2.6388629429123755e-8,7.960471702727737,16.570284355113003,0.09147750601486505,0.5981485980548192
35,unionunion,9.878143911518977,2.2872105104031295,4.318860842318321,1.6512304128605912e-5,5.392366804382818,14.363921018655137,0.09484438803726221,0.641697582407768
36,unionunion,13.369769321891088,2.3815933392445934,5.613791868485736,2.27821014258521e-8,8.698886133414408,18.040652510367767,0.09697354756699061,0.7047119212206061
37,unionunion,10.73170052019114,2.190776438338312,4.8985831381001415,1.0491198729413417e-6,6.43505412526915,15.02834691511313,0.09163206939396092,0.5923754033945985
38,unionunion,11.92743533484496,2.186748563638979,5.454415534173922,5.5721325294500817e-8,7.638690092314771,16.216180577375148,0.09134640885536943,0.5987296662355366
39,unionunion,9.54042148348266,2.2790674940104436,4.1861074797282605,2.9705178716093683e-5,5.070616387977322,14.010226578988,0.09467601314981118,0.6422911238812454
40,unionunion,13.07847484509665,2.3718942125297287,5.513936825684939,4.000549751875271e-8,8.426615635338619,17.73033405485468,0.09673677812420507,0.7049979139287601
41,unionunion,11.23264129843357,2.2541724571986235,4.98304433742969,6.841136492156635e-7,6.8116598636043735,15.653622733262768,0.09374021626598893,0.6221515341387818
42,unionunion,12.281748934604462,2.2474587936065378,5.464727081779202,5.26258106619269e-8,7.873936180483915,16.689561688725007,0.09344297790541198,0.6270880484613844
43,unionunion,10.024795490803545,2.342467333193629,4.279588171304881,1.9678121266296728e-5,5.4306479065478825,14.618943075059207,0.0966897098052731,0.6731078456143447
44,unionunion,13.37332289872075,2.425926880466083,5.512665285340912,4.0291001102623624e-8,8.615492536185442,18.131153261256056,0.09845753689669715,0.7311926738081881
45,unionunion,11.839367005843274,2.24586414933044,5.2716309708104765,1.5098869135084911e-7,7.434681736595183,16.244052275091363,0.09397819305833263,0.6241286140586053
46,unionunion,12.87261044028595,2.239124291470737,5.748948590893432,1.0475585740274985e-8,8.481145213022774,17.264075667549125,0.09368942947980859,0.6289927168569911
47,unionunion,10.654758456417598,2.3339181470447135,4.5651808611664535,5.3179463770578425e-6,6.077379511860108,15.232137400975088,0.0969197103117402,0.6752555942251436
48,unionunion,13.981232519896645,2.416485137601754,5.785772195467484,8.451881203696214e-9,9.24192136624334,18.72054367354995,0.09869045508402635,0.7331662354642132
49,unionunion,13.134844838643078,2.1952516346781783,5.983298056201486,2.6178410118245415e-9,8.829421493282986,17.44026818400317,0.09239350639379208,0.6037223387796371
50,unionunion,14.477306412804055,2.1908583742645824,6.608052160224064,5.072593468516612e-11,10.180500833085887,18.774111992522222,0.09215139252704574,0.6110371910326285
51,unionunion,11.82301086912543,2.278853090917755,5.188140875006553,2.3562529427175948e-7,7.353626270177876,16.292395468072982,0.0954361926604008,0.6521351031546535
52,unionunion,15.534618264662187,2.372393727691542,6.548077616011129,7.52157313038995e-11,10.881779384650052,20.187457144674323,0.09759565933226072,0.7170109309125635
53,unionunion,12.730071085636318,2.1939085759740053,5.802461973596456,7.666757268889537e-9,8.427283319265527,17.03285885200711,0.0923473313233854,0.6057870034806744
54,unionunion,14.07238375085177,2.1891279790692066,6.428305647454743,1.636124784413386e-10,9.778973405239892,18.36579409646365,0.09210247922759594,0.6130344184501284
55,unionunion,11.434376713134014,2.2768860471263555,5.021936309709163,5.605464138236017e-7,6.968851534168411,15.899901892099617,0.09534360724473971,0.6540101961507585
56,unionunion,15.166651316663861,2.36908158156266,6.401911793455357,1.9380862830133775e-10,10.520309988631697,19.812992644696024,0.0974296755284425,0.7185236505391174
57,unionunion,14.016593348588192,2.2643600795772376,6.190090293062015,7.38248813390297e-10,9.575633066212793,18.457553630963588,0.09480424725409427,0.6431804911728192
58,unionunion,15.200962816084296,2.2567056177759097,6.735908616678841,2.1655844165028566e-11,10.775016348359198,19.626909283809393,0.09452567564842654,0.6489286858830148
59,unionunion,12.703282234195969,2.3462251569105295,5.414349171382785,6.950856592129582e-8,8.101766261567644,17.304798206824294,0.09770840238655434,0.6921627798498318
60,unionunion,16.21576207825687,2.428322318010728,6.677763473977687,3.1944273135614264e-11,11.453235354076309,20.97828880243743,0.0994587474590992,0.7518943099073465
61,unionunion,14.414478453687112,2.2566376848258627,6.387590950294455,2.1244718448698452e-10,9.98866521893575,18.840291688438473,0.0948752193097262,0.6441273823066389
62,unionunion,15.580635011513447,2.2490530508603914,6.927642282850092,5.877070223346054e-12,11.1696986298897,19.991571393137193,0.09460137275472076,0.6497996371389996
63,unionunion,13.126926700342178,2.3384741071136355,5.613458220644857,2.2821941665856132e-8,8.54061402416648,17.713239376517876,0.09778711592616023,0.6932736046203473
64,unionunion,16.61359485731104,2.419925651491741,6.865332762215129,9.010153236972932e-12,11.867537688894277,21.3596520257278,0.09955157942359445,0.752824926146409
65,unionunion,11.263157275018852,2.196583493324727,5.12757985719498,3.241235710229117e-7,6.9551203132301,15.571194236807603,0.09183427102294828,0.5921274300324318
66,unionunion,12.471727963651379,2.193012952475718,5.687028865731003,1.4987225435994807e-8,8.170695219562258,16.7727607077405,0.09154881538671761,0.5986541401327875
67,unionunion,9.900107636682076,2.283830166221394,4.3348703345406125,1.5366375651794845e-5,5.420960208132868,14.379255065231284,0.09494028174950747,0.6416807642288821
68,unionunion,13.304908674981734,2.378946463905956,5.592773472143046,2.5668616266414338e-8,8.639216652149294,17.970600697814174,0.09707245762661217,0.7047789554714847
69,unionunion,10.961596070909508,2.1893115579200315,5.006868954423115,6.056584461387667e-7,6.667822663417019,15.255369478401995,0.09174620741343292,0.5926177268547705
70,unionunion,12.176823670416741,2.185175165597781,5.5724702816149865,2.879254246845856e-8,7.891164243730221,16.462483097103263,0.09145107411461803,0.5990760923892192
71,unionunion,9.586078438875134,2.27619169053672,4.211454807927342,2.6587983306680195e-5,5.121913492709077,14.050243385041192,0.0948146230200941,0.6422074395124825
72,unionunion,13.022566933336035,2.370095466045092,5.494532654866602,4.45839895207569e-8,8.374235501231988,17.67089836544008,0.09687031562211451,0.705080308444639
73,unionunion,11.385828234650711,2.251788489903429,5.056348891426747,4.694957388985619e-7,6.969522340559153,15.80213412874227,0.09375245565576343,0.6222847030235746
74,unionunion,12.452868330086956,2.244858343408991,5.547284694666441,3.318349461268047e-8,8.050155690629161,16.85558096954475,0.0934444644366725,0.6272950155233893
75,unionunion,10.00755893493556,2.3390351857943386,4.278498671466964,1.977371945512856e-5,5.420142625630811,14.594975244240308,0.0967711730436732,0.6730934832890283
76,unionunion,13.279106219011503,2.423429441756908,5.479468884138249,4.848502202012215e-8,8.526173938860607,18.032038499162397,0.09854393574009632,0.7313833481468802
77,unionunion,11.985051709849689,2.2448721667644103,5.338857101660287,1.0502212401580847e-7,7.582311959433288,16.38779146026609,0.09397658206368517,0.6244343117102239
78,unionunion,13.035493964634703,2.2379124502709606,5.8248453656247365,6.722257235957047e-9,8.646405451567366,17.42458247770204,0.09367549163851713,0.6293655235129731
79,unionunion,10.612158139287624,2.3315834967435936,4.5514810660261995,5.672215318942767e-6,6.039358009606218,15.18495826896903,0.0969842127294215,0.6752650428315604
80,unionunion,13.844286416705835,2.415061124413141,5.73247868418651,1.1525170484785755e-8,9.1077680969428485,18.58080473646882,0.09874580852531754,0.7332589971984996
81,unionunion,13.207338499178578,2.194636951608502,6.0180060713452415,2.122627842668331e-9,8.903120697090326,17.51155630126683,0.09247709106920138,0.6037358163389595
82,unionunion,14.558007400128835,2.190178091110496,6.64695143249626,3.921658123219473e-11,10.262536020962653,18.853478779295017,0.09223113382330132,0.6110897114094107
83,unionunion,11.774566928633739,2.277875028296489,5.169101369638948,2.605585388406513e-7,7.307100548124097,16.24203330914338,0.09556638645897558,0.6522527067312602
84,unionunion,15.419723566774456,2.372628678545509,6.499004124078615,1.0358137352019255e-10,10.76642389121415,20.073023242334763,0.09773924859101275,0.7174852934282461
85,unionunion,12.842098223236155,2.1933729079812907,5.854954338364472,5.629678134045672e-9,8.54036103194909,17.14383541452322,0.0924759246406759,0.605568633844054
86,unionunion,14.19262492482586,2.1885604276815718,6.484913436847923,1.1350348152503337e-10,9.90032768499064,18.484922164661082,0.09222410245887917,0.6128604354324405
87,unionunion,11.406183738081669,2.2762890237089506,5.010867960649658,5.933129390911739e-7,6.941829466683539,15.870538009479798,0.09553097488494591,0.6540901261912654
88,unionunion,15.061679851597386,2.3701156588422205,6.354829054610304,2.61817133657864e-10,10.413310448197201,19.71004925499757,0.09762633281525361,0.7191103950282535
89,unionunion,14.043112900761619,2.263669208448268,6.203694801498003,6.78330755333857e-10,9.603507584529488,18.48271821699375,0.09485751222413,0.6430789436908738
90,unionunion,15.232997326868695,2.255877397193207,6.7525820976892605,1.9359803342819025e-11,10.808675200366324,19.657319453371066,0.09457012617447687,0.6488342509133204
91,unionunion,12.60567633305609,2.3460391535855343,5.373173893449472,8.711057562644135e-8,8.004525158012688,17.206827508099494,0.09786987755519776,0.6926678501720314
92,unionunion,16.066310871956368,2.4296037492644,6.612728876805813,4.9170331780790056e-11,11.301270951506291,20.831350792406447,0.09962760935690873,0.7529598309682513
