Filename,Code Path,age,hours,grade,collgrad,married,south,smsa,c_city,ttl_exp,tenure
universe_1.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_2.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,+ smsa,+ c_city,+ ttl_exp,
universe_3.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,+ smsa,+ c_city,,+ tenure
universe_4.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,+ smsa,+ c_city,,
universe_5.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,+ smsa,,+ ttl_exp,+ tenure
universe_6.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,+ smsa,,+ ttl_exp,
universe_7.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,+ smsa,,,+ tenure
universe_8.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,+ smsa,,,
universe_9.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,,+ c_city,+ ttl_exp,+ tenure
universe_10.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,,+ c_city,+ ttl_exp,
universe_11.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,,+ c_city,,+ tenure
universe_12.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,,+ c_city,,
universe_13.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,,,+ ttl_exp,+ tenure
universe_14.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,,,+ ttl_exp,
universe_15.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,,,,+ tenure
universe_16.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,+ south,,,,
universe_17.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,+ smsa,+ c_city,+ ttl_exp,+ tenure
universe_18.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,+ smsa,+ c_city,+ ttl_exp,
universe_19.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,+ smsa,+ c_city,,+ tenure
universe_20.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,+ smsa,+ c_city,,
universe_21.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,+ smsa,,+ ttl_exp,+ tenure
universe_22.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,+ smsa,,+ ttl_exp,
universe_23.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,+ smsa,,,+ tenure
universe_24.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,+ smsa,,,
universe_25.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,,+ c_city,+ ttl_exp,+ tenure
universe_26.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,,+ c_city,+ ttl_exp,
universe_27.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,,+ c_city,,+ tenure
universe_28.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,,+ c_city,,
universe_29.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,,,+ ttl_exp,+ tenure
universe_30.R,_start,+ age,+ hours,+ grade,+ collgrad,+ married,,,,+ ttl_exp,
