idcode,union,hours,age,grade,collgrad,married,south,smsa,c_city,ttl_exp,tenure,wage
1,union,48.0,37,12.0,not college grad,single,0,SMSA,0,10.333334,5.3333335,11.739125
2,union,40.0,37,12.0,not college grad,single,0,SMSA,1,13.621795,5.25,6.4009633
3,,40.0,42,12.0,not college grad,single,0,SMSA,1,17.73077,1.25,5.0167227
4,union,42.0,43,17.0,college grad,married,0,SMSA,0,13.211537,1.75,9.0338125
6,nonunion,48.0,42,12.0,not college grad,married,0,SMSA,0,17.820513,17.75,8.083731
7,nonunion,30.0,39,12.0,not college grad,married,0,SMSA,0,7.326923,2.25,4.6296296
9,union,40.0,37,12.0,not college grad,single,0,SMSA,1,19.04487,19.0,10.491142
12,nonunion,45.0,40,18.0,college grad,married,0,SMSA,0,15.557693,14.166667,17.206116
13,nonunion,8.0,40,14.0,not college grad,married,0,SMSA,0,14.25,5.5,13.083735
14,nonunion,50.0,40,15.0,not college grad,married,0,SMSA,0,7.3846154,2.25,7.745568
15,union,16.0,39,16.0,college grad,married,0,SMSA,0,15.769231,8.416667,16.795479
16,nonunion,40.0,40,15.0,not college grad,married,0,SMSA,0,16.384615,13.833333,15.48309
18,nonunion,40.0,40,15.0,not college grad,married,0,SMSA,0,7.75,7.75,5.2334948
19,union,40.0,40,15.0,not college grad,single,0,SMSA,0,14.211538,5.5833335,10.161026
20,union,4.0,39,15.0,not college grad,married,0,SMSA,0,15.858974,4.6666665,9.661837
22,nonunion,32.0,41,15.0,not college grad,married,0,SMSA,0,15.012821,3.0,9.057972
23,nonunion,45.0,42,15.0,college grad,married,0,nonSMSA,0,15.346155,8.083333,8.05153
24,nonunion,24.0,41,14.0,college grad,married,0,SMSA,0,16.467947,3.4166667,11.095006
25,nonunion,40.0,42,14.0,college grad,married,0,SMSA,1,17.75,5.4166665,9.581316
36,,40.0,37,12.0,not college grad,single,0,SMSA,0,15.935898,0.9166667,4.180602
39,nonunion,40.0,44,16.0,college grad,single,0,SMSA,0,8.839744,7.9166665,9.790657
44,union,35.0,41,18.0,college grad,married,0,SMSA,0,16.205128,3.5,28.45666
45,union,38.0,35,12.0,not college grad,married,0,SMSA,0,17.25,17.25,10.185181
46,nonunion,25.0,44,18.0,college grad,married,0,SMSA,0,5.544872,2.9166667,3.051529
47,nonunion,40.0,35,12.0,not college grad,single,0,SMSA,0,8.737179,0.75,3.5265677
48,,40.0,35,15.0,not college grad,single,0,SMSA,1,5.5576925,0.33333334,5.852843
50,,45.0,36,16.0,college grad,single,0,SMSA,1,9.423077,6.4166665,35.731617
51,nonunion,18.0,38,12.0,not college grad,married,0,SMSA,0,10.269231,3.25,4.4283414
54,nonunion,55.0,40,12.0,not college grad,single,0,SMSA,1,10.397436,0.75,5.032206
57,nonunion,40.0,42,12.0,not college grad,married,0,SMSA,1,12.846154,7.25,5.780996
62,nonunion,40.0,38,10.0,not college grad,married,0,nonSMSA,0,7.3653846,5.9166665,5.1127205
63,union,18.0,44,15.0,college grad,single,0,SMSA,1,10.384615,2.0833333,25.1606
64,union,30.0,38,12.0,not college grad,married,0,SMSA,0,7.384615,3.3333333,4.404185
66,nonunion,9.0,39,13.0,not college grad,married,0,SMSA,1,11.480769,9.75,4.7101436
67,nonunion,24.0,40,15.0,not college grad,married,0,nonSMSA,0,11.038462,3.1666667,8.05153
70,nonunion,38.0,36,13.0,not college grad,married,0,nonSMSA,0,16.083334,16.083334,16.739124
71,nonunion,38.0,34,12.0,not college grad,married,0,nonSMSA,0,10.5,2.5,5.7246356
72,union,40.0,36,12.0,not college grad,married,0,SMSA,0,9.442307,1.0833334,7.458193
73,,40.0,36,14.0,not college grad,single,0,nonSMSA,0,14.442307,0.5,6.793478
75,union,40.0,39,11.0,not college grad,single,0,nonSMSA,0,14.499999,9.333333,12.500001
78,nonunion,35.0,40,12.0,not college grad,married,0,SMSA,1,16.326923,9.083333,17.697258
80,nonunion,8.0,45,14.0,not college grad,married,0,SMSA,0,5.717949,0.0,12.077295
85,,40.0,38,11.0,not college grad,single,0,SMSA,1,6.1923075,1.5,9.406354
86,union,44.0,44,17.0,college grad,single,0,SMSA,0,16.26923,1.25,13.172291
103,union,35.0,36,18.0,college grad,married,0,SMSA,1,9.833333,0.0,11.062799
104,nonunion,18.0,41,17.0,college grad,married,0,SMSA,0,8.948718,2.75,3.7439594
105,nonunion,8.0,41,16.0,college grad,married,0,SMSA,0,8.788462,5.5833335,4.025765
106,nonunion,40.0,38,12.0,not college grad,single,1,SMSA,1,17.416666,17.416666,10.8373575
107,union,40.0,43,8.0,not college grad,single,0,SMSA,1,7.5448713,1.0833334,4.347824
110,union,20.0,45,12.0,not college grad,married,0,SMSA,0,6.6602564,2.5833333,4.7101436
121,union,38.0,39,12.0,not college grad,married,0,SMSA,1,20.698719,20.666666,9.726243
123,union,37.0,41,6.0,not college grad,single,0,SMSA,1,7.320513,0.75,2.8985493
126,nonunion,40.0,39,12.0,not college grad,single,0,SMSA,1,19.75,19.75,10.064413
128,nonunion,40.0,36,12.0,not college grad,married,0,SMSA,0,19.032053,19.0,8.518515
129,nonunion,37.0,43,12.0,not college grad,single,0,SMSA,0,14.230769,10.166667,8.49436
130,nonunion,40.0,43,12.0,not college grad,married,0,SMSA,0,6.1538463,0.6666667,5.600358
131,union,38.0,41,12.0,not college grad,single,0,SMSA,1,12.26282,0.25,4.227053
132,nonunion,43.0,36,10.0,not college grad,single,0,SMSA,1,10.24359,2.6666667,5.6199675
134,nonunion,30.0,42,12.0,not college grad,married,0,SMSA,0,6.1282053,1.5,4.64573
137,union,30.0,36,17.0,college grad,married,0,SMSA,0,9.833333,9.833333,15.48309
139,union,35.0,44,9.0,not college grad,single,0,SMSA,1,8.5,8.5,4.830918
141,,40.0,43,14.0,not college grad,single,0,SMSA,0,12.910256,1.1666666,40.198082
142,union,40.0,43,18.0,college grad,married,0,SMSA,0,15.115384,5.75,15.48309
143,nonunion,40.0,37,15.0,not college grad,married,0,SMSA,0,7.0769234,0.5833333,10.033444
144,nonunion,40.0,43,10.0,not college grad,married,1,SMSA,0,14.326923,0.33333334,3.6231885
147,nonunion,20.0,40,12.0,not college grad,married,0,SMSA,0,7.666667,3.0833333,9.299514
152,union,50.0,37,18.0,college grad,married,0,SMSA,0,13.673077,4.8333335,10.217388
159,nonunion,37.0,36,11.0,not college grad,married,0,SMSA,0,17.397436,17.333334,10.008045
166,nonunion,4.0,38,14.0,not college grad,married,0,SMSA,0,10.602565,1.0833334,4.227053
167,nonunion,25.0,37,13.0,not college grad,married,1,nonSMSA,0,16.980768,7.5,4.830918
168,nonunion,40.0,41,17.0,college grad,married,1,SMSA,0,11.301282,3.8333333,7.745568
169,union,37.0,36,16.0,college grad,single,0,SMSA,0,14.833333,14.833333,9.847019
172,nonunion,30.0,44,15.0,college grad,married,0,SMSA,1,17.833334,3.4166667,10.869566
173,,35.0,43,12.0,not college grad,single,0,SMSA,1,11.506411,2.9166667,3.220612
176,union,40.0,38,12.0,not college grad,single,0,SMSA,1,12.846153,3.5,8.164251
183,union,40.0,43,12.0,not college grad,single,0,SMSA,0,17.121796,13.25,8.454107
184,nonunion,40.0,41,12.0,not college grad,married,0,SMSA,0,13.788462,12.083333,8.293073
188,union,40.0,41,12.0,not college grad,married,0,SMSA,0,13.26923,8.416667,9.677936
195,nonunion,40.0,36,12.0,not college grad,married,0,SMSA,0,12.801282,2.1666667,4.5330095
202,,30.0,36,14.0,not college grad,single,1,nonSMSA,0,11.551282,0.25,3.3444817
203,nonunion,24.0,41,11.0,not college grad,married,1,SMSA,1,19.00641,3.1666667,8.454107
204,nonunion,40.0,38,10.0,not college grad,married,0,SMSA,1,5.5961537,4.0,6.0386477
206,nonunion,18.0,37,14.0,not college grad,married,0,SMSA,1,10.333333,1.3333334,10.32206
207,union,50.0,38,18.0,college grad,single,0,SMSA,1,13.269231,2.0833333,11.610305
210,,40.0,37,11.0,not college grad,single,0,SMSA,0,15.641026,10.916667,5.0167227
213,nonunion,40.0,43,10.0,not college grad,single,0,SMSA,1,16.903847,14.416667,6.441224
215,nonunion,40.0,36,16.0,college grad,single,0,SMSA,0,15.852564,3.75,5.032206
218,nonunion,38.0,35,12.0,not college grad,married,0,nonSMSA,0,10.115384,2.0833333,4.830918
219,nonunion,40.0,35,13.0,not college grad,single,0,SMSA,1,16.858974,8.916667,11.070854
221,nonunion,35.0,40,16.0,college grad,married,0,SMSA,0,9.256411,1.8333334,8.317226
223,nonunion,40.0,37,16.0,college grad,single,0,SMSA,0,15.916667,8.75,13.083735
224,union,40.0,38,13.0,not college grad,married,0,SMSA,0,10.788462,4.6666665,5.628018
225,nonunion,45.0,35,16.0,college grad,single,0,SMSA,0,16.692308,15.75,12.560386
226,nonunion,40.0,34,16.0,college grad,married,1,SMSA,0,7.6923075,6.6666665,6.682766
227,nonunion,40.0,42,15.0,not college grad,single,1,SMSA,1,18.788462,1.3333334,5.6360707
228,nonunion,15.0,42,16.0,college grad,married,1,SMSA,0,4.980769,0.33333334,4.025765
231,nonunion,30.0,42,16.0,college grad,married,0,SMSA,0,10.589743,9.833333,18.067625
233,nonunion,40.0,36,16.0,college grad,married,0,nonSMSA,0,13.923077,13.916667,5.8051524
236,nonunion,20.0,36,18.0,college grad,married,0,SMSA,1,9.480769,3.75,24.661829
237,union,40.0,36,17.0,college grad,single,0,SMSA,1,12.096154,1.75,7.21417
242,union,24.0,39,12.0,not college grad,married,0,SMSA,0,15.301282,8.75,4.694041
243,union,40.0,35,18.0,college grad,married,0,SMSA,0,17.49359,8.583333,12.697259
244,nonunion,40.0,36,13.0,not college grad,single,1,nonSMSA,0,16.269232,11.25,9.565216
245,nonunion,40.0,36,15.0,not college grad,married,0,SMSA,1,9.846154,1.0,6.191625
250,nonunion,50.0,44,18.0,college grad,married,1,SMSA,0,9.064103,3.9166667,7.6811533
254,nonunion,40.0,39,12.0,not college grad,single,1,SMSA,0,16.307692,9.75,9.806758
255,nonunion,40.0,45,14.0,not college grad,married,0,SMSA,1,24.75,24.75,4.025765
257,union,40.0,38,16.0,college grad,married,1,SMSA,1,11.653846,2.75,11.610305
260,nonunion,40.0,38,12.0,not college grad,single,0,SMSA,0,10.871796,2.5,6.964568
261,union,40.0,41,12.0,not college grad,married,0,SMSA,0,5.365384,2.8333333,4.2592573
262,,40.0,44,14.0,not college grad,single,1,SMSA,0,14.576923,1.25,4.5088553
265,nonunion,40.0,44,14.0,not college grad,single,1,SMSA,1,11.019231,0.75,9.227052
269,union,14.0,40,16.0,college grad,married,0,SMSA,0,7.6538463,1.75,3.3172295
270,union,40.0,38,16.0,college grad,married,0,SMSA,1,16.448717,10.666667,8.05153
271,nonunion,40.0,36,11.0,not college grad,single,0,SMSA,1,11.333333,11.333333,5.1127205
273,,20.0,42,12.0,not college grad,married,0,SMSA,0,9.019231,0.33333334,3.5535119
275,,16.0,38,10.0,not college grad,married,0,SMSA,1,7.480769,1.0,1.0049518
276,nonunion,22.0,35,12.0,not college grad,married,0,SMSA,1,16.166666,16.166666,7.318838
279,,55.0,35,16.0,college grad,married,0,SMSA,0,15.557693,6.25,9.891299
285,nonunion,50.0,38,13.0,not college grad,married,0,SMSA,0,10.102564,2.5833333,5.8856664
287,union,15.0,41,12.0,not college grad,married,0,SMSA,0,5.519231,0.75,4.8631215
289,,46.0,44,12.0,not college grad,married,0,nonSMSA,0,19.134615,0.75,2.801002
291,,40.0,42,12.0,not college grad,single,0,SMSA,1,7.5961537,4.5833335,3.0518394
294,nonunion,30.0,34,12.0,not college grad,married,0,SMSA,0,15.608974,1.75,5.6360707
296,nonunion,32.0,44,12.0,not college grad,married,0,SMSA,0,15.230769,11.416667,8.80837
298,nonunion,40.0,37,16.0,college grad,married,1,SMSA,1,12.070512,2.25,23.24476
299,nonunion,38.0,41,16.0,college grad,single,0,SMSA,1,12.153846,6.75,12.222217
301,nonunion,40.0,38,18.0,college grad,single,0,SMSA,0,14.903846,6.5,12.971002
305,nonunion,40.0,40,16.0,college grad,married,0,SMSA,0,15.807693,15.5,15.789039
306,nonunion,40.0,37,14.0,not college grad,married,0,SMSA,0,16.833332,13.416667,6.964568
307,,22.0,35,12.0,not college grad,single,0,SMSA,0,13.833333,2.3333333,4.3886213
308,,50.0,37,18.0,college grad,married,0,SMSA,0,14.173077,0.75,11.148272
312,nonunion,16.0,36,15.0,college grad,married,0,SMSA,0,9.653846,0.6666667,9.661837
315,nonunion,50.0,38,16.0,college grad,single,0,SMSA,0,14.884615,1.5,29.726234
319,union,18.0,45,12.0,not college grad,married,0,SMSA,0,8.346154,2.6666667,4.492752
322,,16.0,41,14.0,not college grad,single,0,nonSMSA,0,12.096154,0.8333333,6.6889634
324,,25.0,44,12.0,not college grad,married,0,SMSA,0,7.3653846,0.9166667,5.852843
